scene_instance_id,beta1_r,beta2_r,beta1_g,beta2_g,beta1_b,beta2_b
0001_001_S6_00100_00060_3200_L,0.0004794565,0,0.0004794565,0,0.0004794565,0
0002_001_S6_00100_00020_3200_N,0.0004794565,0,0.0004794565,0,0.0004794565,0
0003_001_S6_00100_00060_3200_H,0.0004794565,0,0.0004794565,0,0.0004794565,0
0004_001_S6_00100_00060_4400_L,0.0004794565,0,0.0004794565,0,0.0004794565,0
0005_001_S6_00100_00060_4400_N,0.0004794565,0,0.0004794565,0,0.0004794565,0
0006_001_S6_00100_00060_4400_H,0.0004794565,0,0.0004794565,0,0.0004794565,0
0007_001_S6_00100_00100_5500_L,0.0004794565,0,0.0004794565,0,0.0004794565,0
0008_001_S6_00100_00100_5500_N,0.0004794565,0,0.0004794565,0,0.0004794565,0
0010_001_S6_00800_00350_3200_N,0.0036956065,0,0.0036956065,0,0.0036956065,0
0011_001_S6_00800_00500_5500_L,0.0036956065,0,0.0036956065,0,0.0036956065,0
0012_001_S6_00800_00500_5500_N,0.0036956065,0,0.0036956065,0,0.0036956065,0
0013_001_S6_03200_01250_3200_L,0.0199304065,0,0.0199304065,0,0.0199304065,0
0014_001_S6_03200_01250_3200_N,0.0199304065,0,0.0199304065,0,0.0199304065,0
0015_001_S6_03200_01600_5500_L,0.0199304065,0,0.0199304065,0,0.0199304065,0
0016_001_S6_03200_01600_5500_N,0.0199304065,0,0.0199304065,0,0.0199304065,0
0017_001_GP_00100_00060_5500_N,0.000228107086,2.1247339e-06,0.000228107086,2.1247339e-06,0.000228107086,2.1247339e-06
0018_001_GP_00100_00160_5500_L,0.000228107086,2.1247339e-06,0.000228107086,2.1247339e-06,0.000228107086,2.1247339e-06
0019_001_GP_00800_00640_5500_L,0.001763896586,1.23990196e-05,0.001763896586,1.23990196e-05,0.001763896586,1.23990196e-05
0020_001_GP_00800_00350_5500_N,0.001763896586,1.23990196e-05,0.001763896586,1.23990196e-05,0.001763896586,1.23990196e-05
0022_001_N6_00100_00060_5500_N,0.00047275677,2.7743688e-06,0.00047275677,2.7743688e-06,0.00047275677,2.7743688e-06
0023_001_N6_00800_00350_5500_N,0.00347614807,5.205620595e-05,0.00347614807,5.205620595e-05,0.00347614807,5.205620595e-05
0025_001_G4_00100_00060_5500_L,0.0007389967,0,0.0007389967,0,0.0007389967,0
0027_001_G4_00800_00350_5500_L,0.0033556191,6.313376e-05,0.0033556191,6.313376e-05,0.0033556191,6.313376e-05
0028_001_IP_00100_00160_5500_N,0.000701640344853895,3.29612801475335e-06,0.000661838712138552,3.23413496401717e-06,0.000709115739681086,3.24543457998797e-06
0029_001_IP_00800_01000_5500_N,0.000722592507820249,3.29430722355426e-06,0.00066757610437171,3.18062652086344e-06,0.000687766842145419,3.29792086542252e-06
0030_001_IP_01600_02000_5500_N,0.00068674448767834,2.21352561586909e-06,0.000627534905012589,2.06239761796738e-06,0.000660715648126955,2.15238475129514e-06
0032_001_IP_00800_01000_3200_N,0.000722592507820249,3.29430722355426e-06,0.00066757610437171,3.18062652086344e-06,0.000687766842145419,3.29792086542252e-06
